"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
138,"OR10LH0138","LAKHAPARBAT","Odisha Water Resources Department","20° 38 ' 58""","83° 49 ' 15""",1991,"Mahanadi","Mehurani","Bauda","II","Earthfill_Embankment",11.74,1495,160140,950000,380000,710000,"I",129
139,"OR10HH0139","BADANALLA","Odisha Water Resources Department","19° 18 ' 30""","83° 53 ' 7""",1997,"East Flowing Rivers between Mahanadi and Godavari","Bada Nalla","Gunupur","II","Earthfill_Embankment",48,325,21300,75640000,9300000,67140000,"I",4328.7
140,"OR10HH0140","HARABHANGI","Odisha Water Resources Department","19° 30 ' 59""","84° 8 ' 9""",1998,"East Flowing Rivers between Mahanadi and Godavari","harabhangi","Paralakhemundi","II","Earthfill_Embankment",49,807,22430,141250000,1220000,86250000,"I",4608
141,"OR10MH0141","MASINA NALLA","Odisha Water Resources Department","22° 7 ' 8""","83° 59 ' 1""",1979,"Mahanadi","Mahisanalla","Sundergarh","II","Earthfill_Embankment",15.15,896,22110,1960000,150000,1550000,"I/S",152
142,"OR10MH0142","UPPER SUKTEL","Odisha Water Resources Department","20° 43 ' 6""","82° 52 ' 52""",1992,"Mahanadi","Suktel","Patnagarh","II","Earthfill_Embankment",21.66,1573,546000,12300000,2700000,10690000,"I",683
143,"OR10LH0143","RAIJHARAN","Odisha Water Resources Department","20° 56 ' 32""","84° 58 ' 1""",1994,"Brahmani and Baitarni","Ghurudia","Anugul","III","Earthfill_Embankment",14.94,730.3,121600,1190000,526000,870000,"I",122.39
144,"OR10LH0144","KUREIJODI","Odisha Water Resources Department","21° 22 ' 51""","85° 43 ' 16""",1995,"Brahmani and Baitarni","Kureijodi","Keonjhar","II","Earthfill_Embankment",15.07,1524,354000,19350000,520000,16200000,"I",166.93
145,"OR10HH0145","UPPER INDRAVATI","Odisha Water Resources Department","19° 16 ' 37""","82° 49 ' 47""",1996,"Godavari","Indravati","Nawarangpur","II","Other",45,949,332750,NA,2.3e+09,1.1e+08,"I/H",11430
146,"OR10MH0146","JAGADALA","Odisha Water Resources Department","21° 48 ' 12""","85° 28 ' 32""",1996,"Brahmani and Baitarni","Jagadala nalla","Champua","II","Earthfill_Embankment",14.78,1018,450000,3962000,799000,3160000,"I",339.6
147,"OR10HH0147","KAPUR (Upper Indravati Project)","Odisha Water Resources Department","19° 11 ' 46""","82° 46 ' 51""",1994,"Godavari","Kapur","Nabarangpur","II","Other",64,537,3600000,NA,2.3e+09,1.1e+08,"I/H",NA
148,"OR10HH0148","MURAN (Upper Indravati Project)","Odisha Water Resources Department","19° 6 ' 19""","82° 45 ' 46""",1981,"Godavari","Muran","Jajapur","II","Composite_Concrete_and_Masonry",65,494,7e+05,NA,2.3e+09,1.1e+08,"I/H",8060
149,"OR10HH0149","PODAGADA (Upper Indravati Project)","Odisha Water Resources Department","19° 13 ' 49""","82° 48 ' 38""",1996,"Godavari","Podagada","Nabarangpur","II","Other",77.5,462,3100000,NA,2.3e+09,1.1e+08,"I/H",NA
150,"OR10MH0150","DOMKUTCH","Odisha Water Resources Department","20° 32 ' 48""","85° 4 ' 35""",1988,"Mahanadi","Beherasahi Nalla","Athagarh","II","Earthfill_Embankment",24.5,354,0,1400000,160000,1100000,"I",230.5
151,"OR10HH0151","UPPER JONK","Odisha Water Resources Department","20° 43 ' 50""","82° 26 ' 13""",1997,"Mahanadi","Jonk","Nuaparha","II","Earthfill_Embankment",28.1,647,NA,73830000,14700000,73830000,"I",3535
152,"OR10LH0152","SUNAGHAI M.I.P","Odisha Water Resources Department","21° 12 ' 47""","86° 15 ' 37""",1999,"Brahmani and Baitarni","Gadachandi nalla","Anandpur","II","Earthfill_Embankment",11.52,610,0,550000,NA,407700,"I",87
153,"OR10MH0153","KALIMATI","Odisha Water Resources Department","21° 24 ' 44""","85° 47 ' 27""",1999,"Brahmani and Baitarni","kukurkata nalla","Anandpur","II","Earthfill_Embankment",20,985,NA,4500000,1208000,3600000,"I",280.7
154,"OR10MH0154","MAGARANALLA","Odisha Water Resources Department","21° 1 ' 23""","82° 52 ' 7""",1981,"Mahanadi","Magaranalla","Padampur","II","Earthfill_Embankment",16.8,831,NA,1472000,115000,NA,"I",128.37
155,"OR10HH0155","JAMBHIRA","Odisha Water Resources Department","22° 3 ' 2""","86° 48 ' 38""",1986,"Subarnarekha","Jambhira","Baripada","II","Earthfill_Embankment",26,3450,2412000,223650000,2600000,204770000,"I",510
156,"OR10MH0156","SAPUA (Medium)","Odisha Water Resources Department","20° 35 ' 41""","85° 17 ' 37""",2006,"Mahanadi","Sapua nalla","Hindol","III","Earthfill_Embankment",24.32,1290,1183200,8500000,1137500,6460000,"I",375.2
157,"OR10MH0157","HARIHARJORE","Odisha Water Resources Department","21° 2 ' 17""","84° 0 ' 57""",1998,"Mahanadi","Hariharjore","Sonpur","II","Earthfill_Embankment",27,2296,NA,79880000,16680000,5.8e+07,"I",2855
158,"OR10MH0158","BHANJANAGAR","Odisha Water Resources Department","19° 57 ' 5""","84° 34 ' 58""",1894,"East Flowing Rivers between Mahanadi and Godavari","Boringa Nalla","Ghumusar","II","Earthfill_Embankment",21.55,1310.6,740000,57660000,9310000,57660000,"I/S",912
159,"OR10MH0159","JAGATAGHAI M.I.P","Odisha Water Resources Department","19° 40 ' 29""","84° 53 ' 38""",1935,"East Flowing Rivers between Mahanadi and Godavari","Jagatanalla","Kodala","II","Earthfill_Embankment",18.6,664,NA,8300000,1113,6220000,"I/F",261
160,"OR10LH0160","SUNAMUHIN M.I.P","Odisha Water Resources Department","20° 15 ' 38""","85° 9 ' 26""",1967,"Mahanadi","Local nalla","Nayagarh","II","Earthfill_Embankment",12.75,815.45,NA,2180000,279000,1920000,"I",192.41
161,"OR10MH0161","RAGHUNATHSAGAR M.I.P","Odisha Water Resources Department","19° 28 ' 2""","84° 32 ' 33""",1972,"East Flowing Rivers between Mahanadi and Godavari","Talasagarnalla","Ghumusar","II","Earthfill_Embankment",18,670,158000,2700000,360000,2628000,"I",197
162,"OR10LH0162","CHHAMUNDA M.I.P (GANJAM)","Odisha Water Resources Department","19° 55 ' 18""","84° 46 ' 9""",1972,"Mahanadi","baghua","Barhampur","II","Earthfill_Embankment",14.5,990,NA,3e+06,62000,2123000,"I/F",248.69
163,"OR10MH0163","MODANALLA M.I.P","Odisha Water Resources Department","20° 16 ' 56""","85° 5 ' 60""",1975,"Mahanadi","modanalla","Khandapada","II","Earthfill_Embankment",17.68,412.5,0,3646000,817000,2844000,"I",231.78
164,"OR10LH0164","SINDHEI M.I.P","Odisha Water Resources Department","21° 13 ' 1""","86° 0 ' 36""",1976,"Brahmani and Baitarni","Sindhei river","Ghasipura","II","Earthfill_Embankment",12.08,1645.92,0,5338000,1475,5031000,"I",302.87
165,"OR10LH0165","TARADIA M.I.P","Odisha Water Resources Department","21° 18 ' 26""","86° 6 ' 32""",1978,"Brahmani and Baitarni","taradia nalla","Anandpur","II","Earthfill_Embankment",10.5,330,0,1361000,NA,1203000,"I",200.49
166,"OR10MH0167","KALANAJU M.I.P","Odisha Water Resources Department","20° 6 ' 53""","84° 19 ' 13""",1982,"Mahanadi","Local nalla","G.Udayagiri","III","Earthfill_Embankment",19.81,189,0,1203000,820000,1090000,"I",92.57
167,"OR10LH0168","JAMUNASAGAR M.I.P","Odisha Water Resources Department","19° 51 ' 57""","83° 10 ' 30""",1973,"Mahanadi","Mod Nadi","Bhawanipatna","II","Earthfill_Embankment",12.3,420,0,735000,272.95,523000,"I",179
168,"OR10MH0169","KARKATA M.I.P","Odisha Water Resources Department","19° 55 ' 33""","83° 19 ' 60""",1985,"Mahanadi","KARKATA","Bhawanipatna","II","Earthfill_Embankment",17.35,520,0,1235000,195,1146000,"I",190
169,"OR10MH0170","BAGHUA DAM","Odisha Water Resources Department","19° 56 ' 55""","84° 56 ' 37""",2003,"East Flowing Rivers between Mahanadi and Godavari","Baghua","Bajrangnagar","II","Earthfill_Embankment",16.85,824.5,664020,37500000,1300000,3.1e+07,"I/S/T/C/F",1182
170,"OR10LH0171","GHATAPADA M.I.P","Odisha Water Resources Department","20° 14 ' 58""","83° 17 ' 32""",1990,"Mahanadi","giderjore","Kesinga","II","Earthfill_Embankment",13.19,721,0,1150000,4300000,871000,"I",106
171,"OR10LH0172","KUMARKHUNTI M.I.P","Odisha Water Resources Department","20° 33 ' 0""","84° 44 ' 50""",1992,"Mahanadi","keonjharnalla","Chandaka","II","Earthfill_Embankment",13.25,921.97,0,1400000,268680,1064000,"I",172.67
172,"OR10MH0173","SILTIGUDA M.I.P","Odisha Water Resources Department","19° 14 ' 16""","83° 23 ' 36""",1993,"East Flowing Rivers between Mahanadi and Godavari","local nalla","Rayagada","II","Earthfill_Embankment",20.05,1295.5,0,2240000,3500000,1480000,"I",325
173,"OR10LH0174","OSTALI M.I.P","Odisha Water Resources Department","20° 34 ' 11""","83° 6 ' 17""",1994,"Mahanadi","ostali nalla","Patnagarh","II","Earthfill_Embankment",11,1067,0,4890000,1530000,4240000,"I",290
174,"OR10MH0175","SAPUA (Minor)","Odisha Water Resources Department","21° 20 ' 15""","85° 37 ' 22""",1993,"Brahmani and Baitarni","Sapua Nalla","Keonjhar","II","Earthfill_Embankment",17.33,660.72,303000,1280000,240000,950000,"I",243
175,"OR10MH0176","GOPALAGANDA M.I.P","Odisha Water Resources Department","19° 20 ' 25""","84° 30 ' 35""",1994,"To Be Confirmed Mod Nadi","Be Confirmed Mod Nadi","Podamari","II","Earthfill_Embankment",20.6,1143,3.75e+11,2523000,513600,2523000,"I",197.06
176,"OR10LH0177","JHARIANALLA M.I.P","Odisha Water Resources Department","21° 53 ' 20""","84° 0 ' 18""",1996,"Mahanadi","jharia nalla","Banki","III","Earthfill_Embankment",11.9,685.8,0,4450000,178000,346000,"I",67.4
177,"OR10MH0178","SINDHUA M.I.P","Odisha Water Resources Department","21° 24 ' 32""","86° 39 ' 52""",1999,"Brahmani and Baitarni","South Koel","Soro","II","Earthfill_Embankment",16.76,330,NA,758891.49,8250,639394.4,"I",81
178,"OR10MH0179","HATIANALLA M.I.P","Odisha Water Resources Department","21° 55 ' 52""","84° 16 ' 16""",1997,"Mahanadi","Hatia","Jharsugada","II","Earthfill_Embankment",19.2,1555,NA,11612800,NA,NA,"I",723
179,"OR10LH0180","KULIARIJORE M.I.P","Odisha Water Resources Department","21° 27 ' 0""","83° 25 ' 0""",1997,"Mahanadi","Local nalla","Bhartli","II","Earthfill_Embankment",13.05,1345,0,4140000,1100,3440000,"I",287
180,"OR10LH0181","BADJORE M.I.P (Sundargarh)","Odisha Water Resources Department","21° 49 ' 47""","84° 46 ' 55""",1983,"Subarnarekha","Badjorenalla","Baripada","II","Earthfill_Embankment",26.75,1290,90000,1500000,44100,1200000,"I",328
181,"OR10MH0182","BISHNUGUDA M.I.P","Odisha Water Resources Department","19° 8 ' 0""","83° 42 ' 0""",2000,"East Flowing Rivers between Mahanadi and Godavari","BISHNUGUDANALLA","Rayagada","II","Earthfill_Embankment",17,767,0,1430000,3e+05,1230000,"I",113
182,"OR10LH0183","KANKADAJHARA M.I.P","Odisha Water Resources Department","20° 50 ' 28""","85° 30 ' 5""",2000,"Brahmani and Baitarni","local nalla","Kamakhyanagar","II","Earthfill_Embankment",11.35,1020,0,7730000,295000,649000,"I",125.73
183,"OR10LH0184","BISRAPADA M.I.P","Odisha Water Resources Department","22° 20 ' 39""","84° 47 ' 12""",2001,"Brahmani and Baitarni","Bisrapadanalla","Sambalpur","II","Earthfill_Embankment",14.02,1810,0,2379000,47390,1917000,"I",180
184,"OR10LH0185","KUSUMIJORE M.I.P","Odisha Water Resources Department","19° 13 ' 51""","82° 31 ' 20""",2000,"Godavari","ghataprabha","Nawarangpur","II","Earthfill_Embankment",11.24,1060,0,3715000,108600,3439000,"I",120.37
185,"OR10LH0186","VICTORIASAGAR M.I.P","Odisha Water Resources Department","21° 9 ' 45""","83° 14 ' 31""",2000,"Mahanadi","badhaghat nalla","Padampur","II","Earthfill_Embankment",11.65,145,0,2750000,4470,2600000,"I",188.56
186,"OR10LH0187","TURLA M.I.P","Odisha Water Resources Department","20° 18 ' 28""","83° 5 ' 29""",2002,"Mahanadi","ghataprabha","Kesinga","II","Earthfill_Embankment",12.12,2320,0,3418000,1.2e+07,3030000,"I",195.57
187,"OR10MH0188","DALIKUPA M.I.P","Odisha Water Resources Department","19° 52 ' 0""","83° 20 ' 0""",2002,"Mahanadi","bansadhara","Lanjigarh","II","Earthfill_Embankment",18.33,559.8,0,505000,NA,315000,"I",74
188,"OR10HH0189","SANAMULIGAON M.I.P","Odisha Water Resources Department","19° 10 ' 19""","83° 38 ' 35""",2003,"East Flowing Rivers between Mahanadi and Godavari","Vansadhara","Ramagunda","II","Earthfill_Embankment",0,0,0,3030000,407000,2670000,"I",269
189,"OR10MH0190","CHAHAKA M.I.P","Odisha Water Resources Department","20° 3 ' 38""","82° 59 ' 13""",2001,"Mahanadi","Mod Nadi","Bhawanipatna","II","Earthfill_Embankment",17.1,930,0,1283000,260000,913000,"I",140.43
190,"OR10MH0191","DUNGURI M.I.P","Odisha Water Resources Department","18° 49 ' 0""","82° 46 ' 30""",2004,"Godavari","Godavari","Koraput","II","Earthfill_Embankment",18.12,242.2,0,370000,82500,330000,"I",54
191,"OR10LH0192","MADHABINALLA M.I.P","Odisha Water Resources Department","21° 49 ' 5""","86° 39 ' 60""",2002,"Subarnarekha","Madhabinalla","Baripada","II","Earthfill_Embankment",10.79,594,70686,1033000,364000,710000,"I",170.5
192,"OR10LH0193","KATANGANALLAH M.I.P","Odisha Water Resources Department","22° 24 ' 30""","84° 3 ' 20""",2006,"Mahanadi","dudunga nalla","Sundergarh","II","Earthfill_Embankment",14.33,600,0,1608000,32000,1108000,"I",175
193,"OR10MH0194","BARGAONMAL M.I.P","Odisha Water Resources Department","22° 8 ' 9""","83° 50 ' 21""",2006,"Mahanadi","Dungajorenalla","Sundergarh","II","Earthfill_Embankment",15.1,750,0,2750000,45530,2250000,"I",180
194,"OR10MH0195","MALKENNALLA M.I.P","Odisha Water Resources Department","20° 55 ' 27""","83° 12 ' 21""",2006,"Mahanadi","malken nalla","Padampur","II","Earthfill_Embankment",NA,1530,NA,2237500,690,1847200,"I",197.14
195,"OR10LH0196","NARAYAN SAGAR M.I.P","Odisha Water Resources Department","19° 36 ' 15""","84° 45 ' 50""",NA,"East Flowing Rivers between Mahanadi and Godavari","kainfulia nalla","Patrapur","II","Earthfill_Embankment",11,865,0,5200000,311200,520000,"I",179.08
196,"OR10LH0197","JAGANNATHASAGAR","Odisha Water Resources Department","18° 51 ' 14""","82° 33 ' 52""",1781,"Godavari","Ghatprabha","Jeypore","II","Earthfill_Embankment",10,775,1500000,1885000,618900,979000,"I",53.67
197,"OR10MH0198","BURBINAJU MIP","Odisha Water Resources Department","20° 10 ' 58""","84° 17 ' 39""",1973,"Mahanadi","salki","Tikabali","II","Earthfill_Embankment",18.36,366,0,100260,0,0,"I",114.33
198,"OR10HH0199","BAGHALATI DAM","Odisha Water Resources Department","19° 8 ' 50""","84° 23 ' 18""",2000,"East Flowing Rivers between Mahanadi and Godavari","Bahuda","Brahampur","II","Earthfill_Embankment",39,1645,1614050,43210000,3360000,38910000,"I",1522
199,"OR10MH0200","MANJORE IRR. PROJECT","Odisha Water Resources Department","20° 50 ' 8""","84° 25 ' 54""",NA,"Mahanadi","manjore","Athamalik","II","Earthfill_Embankment",28,2090,0,100770000,14600550,85240000,"I/S/F",4431
200,"OR10LH0201","TITILAGARH IRR. PROJECT","Odisha Water Resources Department","20° 17 ' 13""","83° 8 ' 48""",NA,"Mahanadi","kankadjore","Titilagarh","II","Earthfill_Embankment",14,2500,0,13380000,4350000,10860000,"I/S/F",850
201,"OR10MH0202","LOWER INDRA IRR. PROJECT","Odisha Water Resources Department","20° 23 ' 30""","82° 38 ' 45""",NA,"Mahanadi","indra","Khariar","II","Earthfill_Embankment",22,3780,0,321635000,47660000,314252000,"I/S/C",6831
202,"OR10HH0203","KANPUR IRR. PROJECT (Major)","Odisha Water Resources Department","22° 2 ' 3""","85° 3 ' 47""",NA,"Brahmani and Baitarni","baitarni","Champua","II","Earthfill_Embankment",39.5,3460,0,331000020,2.6e+07,268970000,"I/S/F",14450
203,"OR10HH0204","TELENGIR IRR. PROJECT","Odisha Water Resources Department","18° 56 ' 28""","82° 39 ' 51""",NA,"Godavari","telengir","Jeypore","II","Earthfill_Embankment",43,1200,0,74400000,5e+06,68230000,"I/S/F",2282
204,"OR10HH0205","NAREIJANI M.I.P","Odisha Water Resources Department","20° 27 ' 26""","85° 15 ' 48""",2000,"Mahanadi","garami nalla","Sambalpur","II","Earthfill_Embankment",15.5,588.26,0,1.4e+08,490000,1020000,"I",142.35
1,"PB26MH0001","NANGAL","Bhakra Beas Management Board","31° 22 ' 51""","76° 22 ' 3""",1954,"Indus Up to Border","Sutlej","Nangal township","IV","Barrage",29,305,2322000,19736000,NA,14800000,"I/H",9910
2,"PB26MH0002","MAILI","Punjab Water Resources Department","31° 25 ' 37""","76° 6 ' 8""",1986,"Indus Up to Border","Maili Choe","Hoshiarpur","IV","Earthfill_Embankment",23.5,334,256000,4550000,728800,3697000,"I/C",275
3,"PB26HH0003","DHOLBAHA","Punjab Water Resources Department","31° 44 ' 12""","75° 53 ' 24""",1987,"Indus Up to Border","Dholbaha Khad","Hoshiarpur","IV","Earthfill_Embankment",38.83,358,758000,11380000,3261100,10360000,"I/C",453
4,"PB26HH0004","JANAURI","Punjab Water Resources Department","31° 42 ' 48""","75° 54 ' 11""",1988,"Indus Up to Border","Janauri Khad","Hoshiarpur","IV","Earthfill_Embankment",31.5,125,195000,2.1e+07,422500,168000,"I/C",145
5,"PB26MH0005","DAMSAL","Punjab Water Resources Department","31° 40 ' 18""","75° 57 ' 8""",1990,"Indus Up to Border","Damsal","Hoshiarpur","IV","Earthfill_Embankment",26.5,210,358000,6600000,682700,6250000,"I/C",730
6,"PB26MH0006","CHOHAL","Punjab Water Resources Department","31° 36 ' 0""","75° 58 ' 6""",1993,"Indus Up to Border","Cholal Choe","Hoshiarpur","IV","Earthfill_Embankment",28.6,330,365000,4400000,554400,2990000,"I/C",258
7,"PB26MH0007","PERCH","Punjab Water Resources Department","30° 48 ' 59""","76° 48 ' 28""",1993,"Indus Up to Border","Perch Khad","Ropar","IV","Earthfill_Embankment",22.2,286.75,182000,1250000,347600,950000,"I/C",8
8,"PB26HH0008","SALERAN","Punjab Water Resources Department","31° 36 ' 52""","75° 59 ' 31""",1995,"Indus Up to Border","Saleran","Hoshiarpur","IV","Earthfill_Embankment",32.5,96,129000,1499000,376300,1200000,"I/C",14
9,"PB26MH0009","MIRZAPUR","Punjab Water Resources Department","30° 53 ' 59""","76° 42 ' 38""",1996,"Indus Up to Border","Budki","Ropar","IV","Earthfill_Embankment",22.4,210,213000,4300000,678600,3150000,"I/C",7.36
10,"PB26MH0010","SISWAN","Punjab Water Resources Department","30° 52 ' 3""","76° 44 ' 54""",1998,"Indus Up to Border","Siswan","Ropar","IV","Earthfill_Embankment",24,435,417000,4800000,862700,3430000,"I/C",66
11,"PB26VH0011","RANJIT SAGAR","Punjab Water Resources Department","32° 26 ' 38""","75° 43 ' 43""",1999,"Indus Up to Border","Ravi","Pathankot","IV","Other",160,617,1.6e+07,3.28e+09,8.7e+07,2.344e+09,"I/H/C",20678
12,"PB26MH0012","JAINTI","Punjab Water Resources Department","30° 48 ' 51""","76° 46 ' 49""",2001,"Indus Up to Border","Soonk","Ropar","IV","Earthfill_Embankment",19.75,258,184000,2872000,550800,2617000,"I/C",14
13,"PB26HH0013","PATIARI","Punjab Water Resources Department","31° 31 ' 21""","76° 3 ' 54""",2002,"Indus Up to Border","Patiari","Hoshiarpur","IV","Earthfill_Embankment",37,226,679000,3460000,451000,3292000,"I/C",16
14,"PB26MH0014","THANA","Punjab Water Resources Department","31° 47 ' 8""","75° 52 ' 33""",2008,"Indus Up to Border","Khwaja","Hoshiarpur","IV","Earthfill_Embankment",28.4,400,540000,3827000,432900,3637000,"I/C",331
15,"PB26HH0015","SHAHPUR KANDI","Punjab Water Resources Department","32° 23 ' 30""","75° 40 ' 42""",NA,"Indus Up to Border","Ravi","Pathankot","IV","Other",55.57,725,402500,120710000,NA,9740000,NA,NA
16,"PB26MH0016","Nara dam","Punjab Water Resources Department","31° 33 ' 0""","76° 2 ' 25""",NA,"Indus Up to Border","Nara Choe","Hoshiarpur","IV","Earthfill_Embankment",38.8,270,NA,NA,NA,NA,NA,NA
1,"RA11HH0001","RAJSAMAND","Rajasthan Water Resources Department","25° 3 ' 40""","73° 54 ' 2""",1676,"Ganga","Chambal","Rajsamand","II","Earthfill_Embankment",39.2,5585.05,NA,107150000,18144000,98650000,"I",2731
2,"RA11HH0002","JAI SAMAND","Rajasthan Water Resources Department","24° 14 ' 30""","73° 57 ' 13""",1730,"Mahi","Gomti","Udaipur","II","Other",42.06,457.4,0,414600000,52600000,296140000,"I",5405
3,"RA11MH0003","SWAROOP SAGAR","Rajasthan Water Resources Department","24° 35 ' 30""","73° 41 ' 7""",1560,"Ganga","Sisarma","Girwa","II","Earthfill_Embankment",22,660,NA,136800000,4180000,9e+06,"I",564
4,"RA11MH0004","HINGONIA","Rajasthan Water Resources Department","26° 46 ' 53""","75° 27 ' 37""",1862,"Ganga","Bandi","Dudu","II","Earthfill_Embankment",19.2,1950,NA,7500000,NA,7500000,"I",132
5,"RA11LH0005","CHANDRANA","Rajasthan Water Resources Department","26° 58 ' 53""","76° 13 ' 50""",1976,"Ganga","Banganga","Dausa","II","Earthfill_Embankment",18.3,3791,4810,4920000,4380000,4920000,"I",1188
6,"RA11MH0006","KHARAD","Rajasthan Water Resources Department","27° 5 ' 55""","76° 7 ' 49""",1877,"Ganga","Banganga","Jamwaramgarh","II","Earthfill_Embankment",29.5,327.8,0,9190000,2790000,9190000,"I",156
7,"RA11LH0007","KALAKH SAGAR","Rajasthan Water Resources Department","26° 58 ' 35""","75° 27 ' 8""",1883,"Ganga","Bandi River","phulera","II","Earthfill_Embankment",18.85,274,0,20660000,5595000,16500000,"I",NA
8,"RA11MH0008","TORDI SAGAR","Rajasthan Water Resources Department","26° 52 ' 54""","75° 23 ' 57""",1887,"Ganga","sohadra","todaraisingh","II","Earthfill_Embankment",14.1,1722,0,47140000,1.5e+07,47100000,"I/F",314
9,"RA11LH0009","MADHO SAGAR","Rajasthan Water Resources Department","26° 50 ' 32""","76° 39 ' 2""",1887,"Ganga","Banganga","sakrai","II","Earthfill_Embankment",23.77,274,0,22610000,7084000,22500000,"I",108
10,"RA11MH0010","FATEH SAGAR","Rajasthan Water Resources Department","24° 36 ' 4""","73° 40 ' 46""",1889,"Ganga","Berach","Girwa","II","Earthfill_Embankment",21,793,0,12090000,2420000,6990000,"I",135
11,"RA11MH0011","BUCHARA","Rajasthan Water Resources Department","27° 35 ' 27""","75° 58 ' 7""",1889,"Ganga","Sabi","kot-putli","II","Earthfill_Embankment",19,1297,0,16360000,12200000,16360000,"I",731
12,"RA11HH0012","JASWANT SAGAR","Rajasthan Water Resources Department","26° 12 ' 52""","73° 41 ' 56""",1889,"West Flowing Rivers of Kutch and Saurashtra including Luni","Luni","Bilara","II","Earthfill_Embankment",43.38,1190.87,16404000,52820000,33650000,40630000,"I",3633
13,"RA11LH0013","CHAPARWARA","Rajasthan Water Resources Department","26° 37 ' 17""","75° 15 ' 27""",1894,"Ganga","Banas","Dudu","II","Earthfill_Embankment",0,0,0,3.5e+07,13980000,3.5e+07,"I",800
14,"RA11MH0014","SAINTHAL SAGAR","Rajasthan Water Resources Department","27° 1 ' 49""","76° 15 ' 39""",1898,"Ganga","Banganga","Dausa","II","Earthfill_Embankment",21.94,4180,12800000,13730000,5222600,12800000,"I",811
15,"RA11MH0015","SHEEL KI DUNGRI","Rajasthan Water Resources Department","26° 38 ' 15""","75° 57 ' 10""",1900,"Ganga","Dhudh","chaksu","II","Earthfill_Embankment",19.8,1980,NA,4170000,NA,4160000,"I",99
16,"RA11MH0016","RAM GARH","Rajasthan Water Resources Department","27° 2 ' 44""","76° 3 ' 36""",1901,"Ganga","Banganga","Jamwaramgarh","II","Earthfill_Embankment",26,1143,0,7.5e+07,10350000,74300000,"I/S",2100
17,"RA11MH0017","MANDAL","Rajasthan Water Resources Department","25° 27 ' 5""","74° 34 ' 2""",1973,"Ganga","Local Nalla","Mandal","II","Earthfill_Embankment",26,1825,0,13800000,3950000,11870000,"I",1300
18,"RA11MH0018","SARDAR SAMAND","Rajasthan Water Resources Department","25° 58 ' 41""","73° 23 ' 10""",1905,"West Flowing Rivers of Kutch and Saurashtra including Luni","Sukhri","Pali","II","Earthfill_Embankment",35,10760,1015320,88170000,9334600,8.8e+07,"I/S",2554
19,"RA11MH0019","HEMAWAS","Rajasthan Water Resources Department","25° 44 ' 35""","73° 21 ' 40""",1911,"West Flowing Rivers of Kutch and Saurashtra including Luni","bandsumer","Pali","II","Earthfill_Embankment",NA,NA,NA,62550000,24400000,62500000,"I",2662
20,"RA11MH0020","DHEEL","Rajasthan Water Resources Department","26° 13 ' 24""","76° 7 ' 2""",1911,"Ganga","Morel","Sawai Madhopur","II","Earthfill_Embankment",27.62,1631.3,0,27730000,17700000,27730000,"I",1864
21,"RA11MH0021","BHOPAL SAGAR","Rajasthan Water Resources Department","24° 51 ' 8""","74° 11 ' 57""",1936,"Ganga","Berach","Kapasan","II","Earthfill_Embankment",28,2073,0,18540000,8190000,18420000,"I",645
22,"RA11MH0022","CHITTOLI","Rajasthan Water Resources Department","27° 29 ' 35""","76° 7 ' 55""",1950,"Ganga","Sabi","kot-putli","II","Earthfill_Embankment",19.5,533,0,24536000,4450000,22310000,"I",27
23,"RA11MH0023","BHULA","Rajasthan Water Resources Department","24° 35 ' 25""","72° 59 ' 22""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","West Banas","Sarupganj","III","Earthfill_Embankment",18.6,427,0,5380000,NA,4500000,"I",736
24,"RA11MH0024","GOVTA","Rajasthan Water Resources Department","25° 10 ' 9""","75° 3 ' 8""",1955,"Ganga","manali","Mandal Garh","II","Other",18,335,0,10480000,2415000,10080000,"I",895
25,"RA11LH0025","NEEDAR","Rajasthan Water Resources Department","26° 19 ' 11""","77° 11 ' 18""",1990,"Ganga","Odher","Mandrayal","II","Earthfill_Embankment",12.96,2713,0,9795000,1290000,8848000,"I",148
26,"RA11LH0026","KANTRI","Rajasthan Water Resources Department","23° 55 ' 19""","73° 59 ' 24""",1979,"Mahi","Nori","Aspur","II","Earthfill_Embankment",13.77,183,0,2550000,540000,2500000,"I",160
27,"RA11LH0027","PATAN (DEOSAGAR)","Rajasthan Water Resources Department","25° 54 ' 57""","74° 21 ' 45""",1956,"Ganga","Local Nalla","Asind","II","Earthfill_Embankment",13.4,503.53,NA,6940000,21800000,6850000,"I",457
28,"RA11LH0028","SURWAL","Rajasthan Water Resources Department","26° 4 ' 49""","76° 20 ' 30""",1958,"Ganga","Gambhir","S.Madhopur","II","Earthfill_Embankment",32,3390,0,25983000,9850000,25540000,"I",609
29,"RA11LH0029","BAGOLIA","Rajasthan Water Resources Department","24° 48 ' 51""","73° 57 ' 13""",1956,"Ganga","Berach","vallabhnagar","II","Earthfill_Embankment",12.7,3079,0,19420000,3500000,18850000,"I",827
30,"RA11MH0030","KALISIL","Rajasthan Water Resources Department","26° 16 ' 14""","76° 46 ' 2""",1956,"Ganga","Kalisil Banas","Sapotra","II","Earthfill_Embankment",24.39,2560,0,41700000,9370000,37250000,"I",889
